A,B,Weight
Ahmad_Hassan,Hamka,1
Ahmad_ibn_Hanbal,Al-Hasan_ibn_'Ali_al-Barbahari,1
Ahmad_ibn_Hanbal,Ibn_Battah,1
Ahmad_ibn_Hanbal,Ibn_Qudamah,1
Ahmad_ibn_Hanbal,Ibn_Rajab,1
Ahmad_Khanpuri,Ebrahim_Desai,1
Ahmad_Khatib_Al-Minangkabawi,Hamka,1
Ahmad_Saeed_Kazmi,Syed_Shujaat_Ali_Qadri,1
Ahmad_Shamlou,Hamid_Dabashi,1
Ahmad_Sirhindi,Abdul_Ghaffar_Naqshbandi,1
Ahmad_Sirhindi,Abdulhakim_Arvasi,1
Ahmad_Sirhindi,Allah_Bakhsh,1
Ahmad_Sirhindi,Allama_Muhammad_Idrees_Dahiri,1
Ahmad_Sirhindi,Fazal_Ali_Qureshi,1
Ahmad_Sirhindi,Fiqh,1
Ahmad_Sirhindi,Haji_Dost_Muhammad_Qandhari,1
Ahmad_Sirhindi,Islamic_philosophy,1
Ahmad_Sirhindi,Khâlid-i_Baghdâdî,1
Ahmad_Sirhindi,Mirza_Mazhar_Jan-e-Janaan,1
Ahmad_Sirhindi,Muhammad_Iqbal,1
Ahmad_Sirhindi,Muhammad_Sirajuddin_Naqshbandi,1
Ahmad_Sirhindi,Muhammad_Tahir,1
Ahmad_Sirhindi,Muhammad_Usman_Damani,1
Ahmad_Sirhindi,Qadi_Thanaullah_Panipati,1
Ahmad_Sirhindi,Said_Nursî,1
Ahmad_Sirhindi,Sayyad_Laal_Shah_Hamdani,1
Ahmad_Sirhindi,Shah_Ghulam_Ali_Dehlavi,1
Ahmad_Sirhindi,Shah_Waliullah,1
Ahmad_Sirhindi,Sufism,1
Ahmad_Sirhindi,Syed_Faiz-ul_Hassan_Shah,1
Ahmad_Sirhindi,Syed_Manzoor_ul_Hassan_Hashmi,1
Ahmad_Sirhindi,Syed_Murtaza_Amin_Shah,1
Ahmed_Raza_Khan_Barelvi,Akhtar_Raza_Khan,1
Ahmed_Raza_Khan_Barelvi,Ghulam_Rasool_Jamaati,1
Ahmed_Raza_Khan_Barelvi,Hamid_Raza_Khan,1
Ahmed_Raza_Khan_Barelvi,Qamaruzzaman_Azmi,1
Ahmed_Raza_Khan_Barelvi,Syed_Faiz-ul_Hassan_Shah,1
Ahmed_Raza_Khan_Barelvi,Syed_Shujaat_Ali_Qadri,1
